Source;Destinations(443011199, 443010655, 0);(443011199, 443010655, 0)|44.869
(5557745353L, 207720399, 0);(5557745353L, 207720399, 0)|31.381
(207720619, 1135833929, 0);(207720619, 1135833929, 0)|10.127
(247036680, 5557745357L, 0);(247036680, 5557745357L, 0)|139.926
(3123452564L, 3123452562L, 0);(3123452564L, 3123452562L, 0)|22.027
(416835342, 416835271, 0);(416835342, 416835271, 0)|58.843
(207720399, 5559249624L, 0);(207720399, 5559249624L, 0)|19.092
(2422521543L, 247123630, 0);(2422521543L, 247123630, 0)|20.356
(416835599, 416835407, 0);(416835599, 416835407, 0)|14.773
(1754945787, 3124506056L, 0);(1754945787, 3124506056L, 0)|46.241
(416835367, 2414810226L, 0);(416835367, 2414810226L, 0)|146.658
(2414810226L, 2465053433L, 0);(2414810226L, 2465053433L, 0)|57.844
(416835609, 416835613, 0);(416835609, 416835613, 0)|99.245
(3123452540L, 1177083389, 0);(3123452540L, 1177083389, 0)|51.548
(416835335, 1584882229, 0);(416835335, 1584882229, 0)|85.974
(3123414329L, 1584882229, 0);(3123414329L, 1584882229, 0)|19.124
(776385431, 1584888095, 0);(776385431, 1584888095, 0)|50.34
(207721214, 1120361980, 0);(207721214, 1120361980, 0)|505.561
(776385447, 1584888059, 0);(776385447, 1584888059, 0)|29.883
(416835588, 416828394, 0);(416835588, 416828394, 0)|62.867
(416835403, 416835407, 0);(416835403, 416835407, 0)|44.054
(443010663, 443010608, 0);(443010663, 443010608, 0)|53.366
(443011211, 443011210, 0);(443011211, 443011210, 0)|21.391
(295603824, 3124506067L, 0);(295603824, 3124506067L, 0)|28.437
(3123452563L, 3123452561L, 0);(3123452563L, 3123452561L, 0)|63.417
(1584888061, 443013027, 0);(1584888061, 443013027, 0)|115.907
(443010609, 3123452545L, 0);(443010609, 3123452545L, 0)|52.195
(2422521543L, 2422521542L, 0);(2422521543L, 2422521542L, 0)|14.946
(295603581, 3124506067L, 0);(295603581, 3124506067L, 0)|25.128
(247123638, 416835624, 0);(247123638, 416835624, 0)|64.873
(5497320567L, 5497320569L, 0);(5497320567L, 5497320569L, 0)|92.356
(416835256, 416828369, 0);(416835256, 416828369, 0)|133.084
(416835610, 416835609, 0);(416835610, 416835609, 0)|43.594
(3552557981L, 2704142905L, 0);(3552557981L, 2704142905L, 0)|21.321
(381116668, 381116720, 0);(381116668, 381116720, 0)|136.414
(416835530, 2016677049, 0);(416835530, 2016677049, 0)|238.606
(443011191, 443011156, 0);(443011191, 443011156, 0)|22.251
(416835524, 416835516, 0);(416835524, 416835516, 0)|152.22
(443011225, 443010606, 0);(443011225, 443010606, 0)|40.814
(3123452564L, 3123452563L, 0);(3123452564L, 3123452563L, 0)|15.942
(1177083389, 3123452540L, 0);(1177083389, 3123452540L, 0)|51.548
(443010666, 443010607, 0);(443010666, 443010607, 0)|115.993
(443010608, 409744560, 0);(443010608, 409744560, 0)|60.674
(443010615, 443010619, 0);(443010615, 443010619, 0)|89.357
(247123630, 2422521542L, 0);(247123630, 2422521542L, 0)|14.754
(443011211, 443010626, 0);(443011211, 443010626, 0)|101.994
(1135833549, 1135833873, 0);(1135833549, 1135833873, 0)|11.222
(1177083389, 1177083571, 0);(1177083389, 1177083571, 0)|214.117
(1120362099, 1120361980, 0);(1120362099, 1120361980, 0)|11.577
(1584888145, 776385497, 0);(1584888145, 776385497, 0)|30.517
(416835516, 416835292, 0);(416835516, 416835292, 0)|73.841
(3123452558L, 3124506039L, 0);(3123452558L, 3124506039L, 0)|138.334
(1584888145, 776385467, 0);(1584888145, 776385467, 0)|23.344
(207720615, 1135834113, 0);(207720615, 1135834113, 0)|49.419
(416835609, 416835600, 0);(416835609, 416835600, 0)|173.487
(1177083484, 1177083494, 0);(1177083484, 1177083494, 0)|9.153
(2077284431, 2077284430, 0);(2077284431, 2077284430, 0)|30.546
(416828391, 416828383, 0);(416828391, 416828383, 0)|48.696
(776385431, 1584888061, 0);(776385431, 1584888061, 0)|179.783
(416835256, 416828382, 0);(416835256, 416828382, 0)|143.456
(416835619, 416835613, 0);(416835619, 416835613, 0)|71.986
(776479870, 420364970, 0);(776479870, 420364970, 0)|240.337
(776385497, 776385447, 0);(776385497, 776385447, 0)|45.989
(3123452553L, 3123452552L, 0);(3123452553L, 3123452552L, 0)|133.856
(1556441308, 1708578279, 0);(1556441308, 1708578279, 0)|95.862
(1135833929, 4236733937L, 0);(1135833929, 4236733937L, 0)|126.544
(416835256, 416835367, 0);(416835256, 416835367, 0)|87.87
(443013027, 1584888061, 0);(443013027, 1584888061, 0)|115.907
(3123452569L, 3123452568L, 0);(3123452569L, 3123452568L, 0)|43.551
(416835403, 416835531, 0);(416835403, 416835531, 0)|189.987
(1135833873, 1135834322, 0);(1135833873, 1135834322, 0)|88.392
(443011159, 443011225, 0);(443011159, 443011225, 0)|61.292
(3123452547L, 3123452545L, 0);(3123452547L, 3123452545L, 0)|71.887
(776385497, 776385500, 0);(776385497, 776385500, 0)|7.428
